run_key,mode,dataset,precision,max_num_seqs,max_num_batched_tokens,num_source_samples,repeats,total_requests,reasoning_effort,max_output_tokens,arrival_mode,scenario_evaluation
accuracy_gpqa_w16kv16_mns24,accuracy,gpqa_diamond,w16kv16,24,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w16kv16_mns48,accuracy,gpqa_diamond,w16kv16,48,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w16kv16_mns96,accuracy,gpqa_diamond,w16kv16,96,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w8kv16_mns24,accuracy,gpqa_diamond,w8kv16,24,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w8kv16_mns48,accuracy,gpqa_diamond,w8kv16,48,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w8kv16_mns96,accuracy,gpqa_diamond,w8kv16,96,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w8kv8_mns24,accuracy,gpqa_diamond,w8kv8,24,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w8kv8_mns48,accuracy,gpqa_diamond,w8kv8,48,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w8kv8_mns96,accuracy,gpqa_diamond,w8kv8,96,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w16kv8_mns24,accuracy,gpqa_diamond,w16kv8,24,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w16kv8_mns48,accuracy,gpqa_diamond,w16kv8,48,16384,198,5,990,high,32768,none,accuracy
accuracy_gpqa_w16kv8_mns96,accuracy,gpqa_diamond,w16kv8,96,16384,198,5,990,high,32768,none,accuracy
performance_pubmed_w16kv16,performance,ccdv/pubmed-summarization,w16kv16,128,16384,1000,1,1000,low,10240,azure,interactive+server
performance_pubmed_w8kv16,performance,ccdv/pubmed-summarization,w8kv16,128,16384,1000,1,1000,low,10240,azure,interactive+server
performance_pubmed_w8kv8,performance,ccdv/pubmed-summarization,w8kv8,128,16384,1000,1,1000,low,10240,azure,interactive+server
performance_pubmed_w16kv8,performance,ccdv/pubmed-summarization,w16kv8,128,16384,1000,1,1000,low,10240,azure,interactive+server
