run_key,model,model_path,attention_architecture,growing_kv_layers,kv_dtype,kv_cache_dtype_cli,attention_backend,workload,isl,osl,num_requests,max_num_seqs,max_model_len,max_num_batched_tokens,tensor_parallel_size,gpu_memory_utilization,quantization,predicted_kv_bytes_per_token,role
qwen36_35b_kv16_decode_heavy_mns64,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv16,bfloat16,TRITON_ATTN,decode_heavy,602,22670,1055,64,49152,8192,2,0.9,,20480,baseline
qwen36_35b_kv16_decode_heavy_mns128,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv16,bfloat16,TRITON_ATTN,decode_heavy,602,22670,1055,128,49152,8192,2,0.9,,20480,baseline
qwen36_35b_kv16_decode_heavy_mns256,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv16,bfloat16,TRITON_ATTN,decode_heavy,602,22670,1055,256,49152,8192,2,0.9,,20480,baseline
qwen36_35b_kv8_decode_heavy_mns64,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv8,fp8,TRITON_ATTN,decode_heavy,602,22670,1055,64,49152,8192,2,0.9,,10240,primary
qwen36_35b_kv8_decode_heavy_mns128,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv8,fp8,TRITON_ATTN,decode_heavy,602,22670,1055,128,49152,8192,2,0.9,,10240,primary
qwen36_35b_kv8_decode_heavy_mns256,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv8,fp8,TRITON_ATTN,decode_heavy,602,22670,1055,256,49152,8192,2,0.9,,10240,primary
qwen36_35b_kv4_decode_heavy_mns64,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv4,int4_per_token_head,TRITON_ATTN,decode_heavy,602,22670,1055,64,49152,8192,2,0.9,,5120,primary
qwen36_35b_kv4_decode_heavy_mns128,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv4,int4_per_token_head,TRITON_ATTN,decode_heavy,602,22670,1055,128,49152,8192,2,0.9,,5120,primary
qwen36_35b_kv4_decode_heavy_mns256,qwen36_35b,/remote/vast0/share-mv/Qwen/Qwen3.6-35B-A3B,hybrid Gated DeltaNet + full attention,10/40,kv4,int4_per_token_head,TRITON_ATTN,decode_heavy,602,22670,1055,256,49152,8192,2,0.9,,5120,primary
gptoss_120b_kv16_decode_heavy_mns64,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv16,bfloat16,TRITON_ATTN,decode_heavy,602,22670,1055,64,49152,8192,2,0.9,mxfp4,36864,baseline
gptoss_120b_kv16_decode_heavy_mns128,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv16,bfloat16,TRITON_ATTN,decode_heavy,602,22670,1055,128,49152,8192,2,0.9,mxfp4,36864,baseline
gptoss_120b_kv16_decode_heavy_mns256,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv16,bfloat16,TRITON_ATTN,decode_heavy,602,22670,1055,256,49152,8192,2,0.9,mxfp4,36864,baseline
gptoss_120b_kv8_decode_heavy_mns64,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv8,fp8,TRITON_ATTN,decode_heavy,602,22670,1055,64,49152,8192,2,0.9,mxfp4,18432,primary
gptoss_120b_kv8_decode_heavy_mns128,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv8,fp8,TRITON_ATTN,decode_heavy,602,22670,1055,128,49152,8192,2,0.9,mxfp4,18432,primary
gptoss_120b_kv8_decode_heavy_mns256,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv8,fp8,TRITON_ATTN,decode_heavy,602,22670,1055,256,49152,8192,2,0.9,mxfp4,18432,primary
gptoss_120b_kv4_decode_heavy_mns64,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv4,int4_per_token_head,TRITON_ATTN,decode_heavy,602,22670,1055,64,49152,8192,2,0.9,mxfp4,9216,primary
gptoss_120b_kv4_decode_heavy_mns128,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv4,int4_per_token_head,TRITON_ATTN,decode_heavy,602,22670,1055,128,49152,8192,2,0.9,mxfp4,9216,primary
gptoss_120b_kv4_decode_heavy_mns256,gptoss_120b,/remote/vast0/share-mv/gpt-oss-120b,dense + attention sink + sliding window (128),18/36,kv4,int4_per_token_head,TRITON_ATTN,decode_heavy,602,22670,1055,256,49152,8192,2,0.9,mxfp4,9216,primary
