TRACE_INDEX,TIMESTAMP,NumImages,ContextTokens,GeneratedTokens,SOURCE_ROW,ARRIVAL_OFFSET_S,INTER_ARRIVAL_S
0,2024-10-16T08:36:32.709Z,1,3324,170,150629,0.000000000,0.000000000
1,2024-10-16T08:36:32.769Z,0,852,54,150630,0.060000181,0.060000181
2,2024-10-16T08:36:32.785Z,0,592,338,150631,0.075999975,0.015999794
3,2024-10-16T08:36:32.964Z,0,244,59,150632,0.255000114,0.179000139
4,2024-10-16T08:36:34.957Z,0,379,121,150633,2.248000145,1.993000031
5,2024-10-16T08:36:35.487Z,0,259,52,150634,2.778000116,0.529999971
6,2024-10-16T08:36:36.766Z,0,46,33,150635,4.057000160,1.279000044
7,2024-10-16T08:36:39.860Z,0,3572,623,150636,7.151000023,3.093999863
8,2024-10-16T08:36:40.611Z,0,1444,104,150637,7.902000189,0.751000166
9,2024-10-16T08:36:42.563Z,0,5182,26,150638,9.854000092,1.951999903
10,2024-10-16T08:36:45.605Z,0,1142,16,150639,12.896000147,3.042000055
11,2024-10-16T08:36:45.672Z,0,350,186,150640,12.963000059,0.066999912
12,2024-10-16T08:36:46.039Z,0,126,11,150641,13.330000162,0.367000103
13,2024-10-16T08:36:46.480Z,0,6779,397,150642,13.771000147,0.440999985
14,2024-10-16T08:36:48.212Z,25,7938,550,150643,15.503000021,1.731999874
15,2024-10-16T08:36:48.359Z,0,347,157,150644,15.650000095,0.147000074
16,2024-10-16T08:36:53.611Z,0,157,78,150645,20.902000189,5.252000093
17,2024-10-16T08:36:53.834Z,0,844,547,150646,21.125000000,0.222999811
18,2024-10-16T08:36:54.019Z,0,250,16,150647,21.310000181,0.185000181
19,2024-10-16T08:36:54.862Z,0,2060,641,150648,22.153000355,0.843000174
20,2024-10-16T08:36:55.413Z,0,566,54,150649,22.703999996,0.550999641
21,2024-10-16T08:36:56.260Z,0,107,11,150650,23.551000118,0.847000122
22,2024-10-16T08:36:59.075Z,0,473,51,150651,26.366000175,2.815000057
23,2024-10-16T08:37:01.230Z,0,414,13,150652,28.521000147,2.154999971
24,2024-10-16T08:37:02.567Z,0,3737,321,150653,29.858000278,1.337000132
25,2024-10-16T08:37:02.604Z,0,136,16,150654,29.895000219,0.036999941
26,2024-10-16T08:37:03.111Z,0,142,13,150655,30.402000189,0.506999969
27,2024-10-16T08:37:03.269Z,0,149,12,150656,30.560000181,0.157999992
28,2024-10-16T08:37:03.811Z,0,750,67,150657,31.102000237,0.542000055
29,2024-10-16T08:37:03.819Z,0,285,8,150658,31.110000134,0.007999897
30,2024-10-16T08:37:04.830Z,0,2039,64,150659,32.121000290,1.011000156
31,2024-10-16T08:37:04.920Z,0,398,61,150660,32.211000204,0.089999914
32,2024-10-16T08:37:05.347Z,0,473,3,150661,32.638000250,0.427000046
33,2024-10-16T08:37:09.829Z,0,250,452,150662,37.120000124,4.481999874
34,2024-10-16T08:37:11.322Z,0,5885,315,150663,38.612999916,1.492999792
35,2024-10-16T08:37:11.419Z,0,4094,184,150664,38.710000277,0.097000360
36,2024-10-16T08:37:11.710Z,0,804,85,150665,39.001000166,0.290999889
37,2024-10-16T08:37:11.712Z,0,241,12,150666,39.003000021,0.001999855
38,2024-10-16T08:37:12.585Z,0,706,69,150667,39.876000166,0.873000145
39,2024-10-16T08:37:13.009Z,0,6214,42,150668,40.299999952,0.423999786
40,2024-10-16T08:37:13.760Z,0,1429,2,150669,41.051000118,0.751000166
41,2024-10-16T08:37:13.864Z,0,374,92,150670,41.155000210,0.104000092
42,2024-10-16T08:37:16.021Z,0,1073,136,150671,43.312000036,2.156999826
43,2024-10-16T08:37:18.771Z,0,939,67,150672,46.062000275,2.750000238
44,2024-10-16T08:37:19.413Z,0,260,13,150673,46.703999996,0.641999722
45,2024-10-16T08:37:19.488Z,0,141,4,150674,46.779000044,0.075000048
46,2024-10-16T08:37:20.368Z,0,605,231,150675,47.659000158,0.880000114
47,2024-10-16T08:37:21.459Z,0,1006,84,150676,48.750000238,1.091000080
48,2024-10-16T08:37:22.725Z,0,240,304,150677,50.016000032,1.265999794
49,2024-10-16T08:37:27.348Z,9,5201,10,150678,54.639000177,4.623000145
50,2024-10-16T08:37:27.611Z,0,6223,62,150679,54.902000189,0.263000011
51,2024-10-16T08:37:29.725Z,1,390,54,150680,57.016000032,2.113999844
52,2024-10-16T08:37:29.920Z,0,2035,175,150681,57.211000204,0.195000172
53,2024-10-16T08:37:30.605Z,0,1576,270,150682,57.896000147,0.684999943
54,2024-10-16T08:37:31.519Z,0,5427,20,150683,58.810000181,0.914000034
55,2024-10-16T08:37:32.510Z,0,380,600,150684,59.801000357,0.991000175
56,2024-10-16T08:37:32.849Z,9,5327,10,150685,60.140000105,0.338999748
57,2024-10-16T08:37:33.459Z,1,1110,94,150686,60.750000238,0.610000134
58,2024-10-16T08:37:33.476Z,1,881,26,150687,60.767000198,0.016999960
59,2024-10-16T08:37:33.852Z,1,928,28,150688,61.143000126,0.375999928
60,2024-10-16T08:37:34.459Z,1,1807,34,150689,61.750000238,0.607000113
61,2024-10-16T08:37:38.226Z,1,629,231,150690,65.516999960,3.766999722
62,2024-10-16T08:37:38.459Z,9,5166,10,150691,65.750000238,0.233000278
63,2024-10-16T08:37:38.519Z,1,1164,97,150692,65.810000181,0.059999943
64,2024-10-16T08:37:39.983Z,1,931,1,150693,67.274000168,1.463999987
65,2024-10-16T08:37:40.027Z,0,861,36,150694,67.318000078,0.043999910
66,2024-10-16T08:37:40.099Z,1,2159,129,150695,67.390000105,0.072000027
67,2024-10-16T08:37:40.229Z,9,5659,191,150696,67.519999981,0.129999876
68,2024-10-16T08:37:40.727Z,1,432,129,150697,68.018000126,0.498000145
69,2024-10-16T08:37:41.098Z,1,1518,17,150698,68.388999939,0.370999813
70,2024-10-16T08:37:41.351Z,9,5222,182,150699,68.642000198,0.253000259
71,2024-10-16T08:37:41.728Z,1,2155,195,150700,69.019000053,0.376999855
72,2024-10-16T08:37:41.965Z,1,1932,91,150701,69.256000042,0.236999989
73,2024-10-16T08:37:42.170Z,1,1297,101,150702,69.460999966,0.204999924
74,2024-10-16T08:37:42.385Z,0,2814,89,150703,69.676000118,0.215000153
75,2024-10-16T08:37:42.483Z,36,12522,10,150704,69.774000168,0.098000050
76,2024-10-16T08:37:42.675Z,1,341,37,150705,69.966000080,0.191999912
77,2024-10-16T08:37:42.769Z,1,2139,165,150706,70.060000181,0.094000101
